"input","match","din/npn","dtc","ahfs","database","type","matches","both"
"Kirkland brand formula forte multivitamin","MULTIVITAMIN","02236800","","","drug","word","1","yes"
"kirkland brand super concentrate omega-3","OMEGA-3","02248743","C10AX06","88:30.00","drug","word","1","yes"
"kirkland brand vitamin b12","VITAMIN B12","00521515","B03BA01","88:08.00","drug","word","1","yes"
"kirkland brand vitamin c","VITAMIN C","00780634","A11GA01","88:12.00","drug","word","1","yes"
"kirkland brand vitamin c","VITAMIN C","00780634","A11GA01","88:12.00","drug","word","1","yes"
"kirkland brand vitamin d","VITAMIN D","02241564","A11CC","88:16.00","drug","word","1","yes"
"kirkland brand vitamin d3","Vitamin D3","02238918","","","natural","word","2",""
"kirkland brand vitamin d3","Vitamin D3","02238918","","","natural","word","2",""
"kirkland calcium 600 mg","CALCIUM","02175584","A12AA A12AA04","40:12.00 88:29.00","drug","word","2","yes"
"Kirkland calcium plus","CALCIUM","02175584","A12AA","88:29.00","drug","word","2","yes"
"Kirkland Calcium plus","CALCIUM","02175584","A12AA","88:29.00","drug","word","2","yes"
"kirkland calcium plus","CALCIUM","02175584","A12AA","88:29.00","drug","word","2","yes"
"Kirkland fish oil","Fish Oil","80000846","","","natural","word","1",""
"kirkland flax seed oil 1300 mg","FLAX SEED OIL","02240935","V06DB","88:30.00","drug","word","1","yes"
"kirkland formula for men","FOR MEN","02240797","A11JB","88:28.01","drug","word","1","no"
"Kirkland Formula Forte Men","Multivitamins And Minerals Formula Forte With Lutein","80027371","","","natural","word","3",""
"kirkland formula forte men","Multivitamins And Minerals Formula Forte With Lutein","80027371","","","natural","word","3",""
"Kirkland Formula Forte Senior","Multivitamins And Minerals With Lutein And Lycopene Formula Senior","80007355","","","natural","word","4",""
"kirkland formula forte senior","Multivitamins And Minerals With Lutein And Lycopene Formula Senior","80007355","","","natural","word","4",""
"Kirkland Formula Forte Women","Multivitamins And Minerals Formula Forte With Lutein","80027371","","","natural","word","3",""
"kirkland formula forte women multi vitamin","MULTI","02243300","S01XA20","52:12.00","drug","word","1","yes"
"Kirkland Formula Senior","Multivitamins And Minerals With Lutein And Lycopene Formula Senior","80007355","","","natural","word","2",""
"Kirkland Forte Senior with lutein and lycopene","Lycopene","80009675","","","natural","word","5",""
"Kirkland Mature Multi Vitamins and Minderals for adults 50+","MULTI","02243300","S01XA20","52:12.00","drug","word","1","yes"
"kirkland multi vitamin with lutein and lycopene","MULTI","02243300","S01XA20","52:12.00","drug","word","1","yes"
"Kirkland Prenatal Multivitamin","MULTIVITAMIN","02236800","","","drug","word","1","yes"
"Kirkland Senior Vitamins","Multivitamins And Minerals With Lutein And Lycopene Formula Senior","80007355","","","natural","word","1",""
"Kirkland Signature Vitamin D3","Vitamin D3","02238918","","","natural","word","2",""
"kirkland vitamin b12 1200 iu","VITAMIN B12","00521515","B03BA01","88:08.00","drug","word","1","yes"
"kirkland vitamin c 1000 mg","C 1000","00700827","A11GA01","88:12.00","drug","word","4","yes"
"kirkland vitamin c 500mg","VITAMIN C","00780634","A11GA01","88:12.00","drug","word","2","yes"
"kirkland vitamin d 500 iu","VITAMIN D","02241564","A11CC","88:16.00","drug","word","1","yes"
"Kirkland Vitamin D3","Vitamin D3","02238918","","","natural","word","2",""
"Kirkland Vitamin D3","Vitamin D3","02238918","","","natural","word","2",""
"Kirkland Vitamin D3","Vitamin D3","02238918","","","natural","word","2",""
"kirkland vitamin d3 1000 iu","Vitamin D3","02238918","","","natural","word","5",""
"komboglyze","KOMBOGLYZE","02389169","A10BD10","68:20.04 68:20.05","drug","direct","2","no"
"konjac root","Konjac Root","80052141","","","natural","direct","1",""
"Korean Red ginseng extract gold","Korean Red Ginseng Extract Gold","80048735","","","natural","direct","1",""
"krilex","Krilex","80018757","","","natural","direct","1",""
"krill Oil","Krill Oil","80020632","","","natural","direct","1",""
"KRILL OIL","Krill Oil","80020632","","","natural","direct","1",""
"krill oil","Krill Oil","80020632","","","natural","direct","1",""
"Krill Oil","Krill Oil","80020632","","","natural","direct","1",""
"krill oil omega","Krill Oil","80020632","","","natural","word","3",""
"krkland multivitamin formula for wormn","MULTIVITAMIN","02236800","","","drug","word","1","yes"
"kronosan arthro","Arthro","80060926","","","natural","word","1",""
"L tyrosine","Tyrosine","80033283","","","natural","word","1",""
"L'Arginine","L-Arginine","80000048","","","natural","simple","1",""
"L-5 Hydroxytryptophan","L-5-Hydroxy-Tryptophan","80007606","","","natural","simple","1",""
"L-Glutamine","L-Glutamine","80004749","","","natural","direct","1",""
"l-lysine","L-Lysine","80000070","","","natural","direct","1",""
"l-lysine","L-Lysine","80000070","","","natural","direct","1",""
"L-Tryptophan","L-Tryptophan","80031759","","","natural","direct","1",""
"lactaid","Lactaid","80068355","","","natural","direct","1",""
"lactobacillus acidophilus","Lactobacillus Acidophilus","80019739","","","natural","direct","1",""
"Lakota","Herbal Pain Relief Formula","80005988","","","natural","direct","1",""
"Lakota","Herbal Pain Relief Formula","80005988","","","natural","direct","1",""
"Lakota","Herbal Pain Relief Formula","80005988","","","natural","direct","1",""
"Lakota Joint Pain Arthroformule","Herbal Pain Relief Formula","80005988","","","natural","word","2",""
"Lamictal","LAMICTAL","02142112","N03AX09","28:12.92","drug","direct","1","no"
"laminaria","Laminaria","80052860","","","natural","direct","1",""
"lamotrigine 25 mg","LAMOTRIGINE","02343010","N03AX09","28:12.92","drug","word","1","no"
"lan nitro patch 0.4 DIN 02407450","MYLAN-NITRO PATCH 0.4","02407450","C01DA02","24:12.08","drug","code","1","no"
"LANSOPRAZOLE-30","LANSOPRAZOLE-30","02385775","A02BC03","56:28.36","drug","direct","1","no"
"Lantus","LANTUS","02245689","A10AE04","68:20.08","drug","direct","1","no"
"Lantus","LANTUS","02245689","A10AE04","68:20.08","drug","direct","1","no"
"lantus cart/","LANTUS","02245689","A10AE04","68:20.08","drug","word","1","no"
"Lasix (Furosemide)","LASIX","02224690","C03CA01","40:28.08","drug","word","1","no"
"latanoprost","LATANOPROST","02375508","S01EE01","52:40.28","drug","direct","1","no"
"latanoprost","LATANOPROST","02375508","S01EE01","52:40.28","drug","direct","1","no"
"Lax-a-day","LAX-A-DAY","02317680","A06AD15","56:12.00","drug","direct","1","no"
"Lax-A-Day","LAX-A-DAY","02317680","A06AD15","56:12.00","drug","direct","1","no"
"lean+ Extra Strength","Lean+ Extra Strength","80035803","","","natural","direct","1",""
"LECITHIN","LECITHIN","02236297","","92:02.00","drug","direct","1","yes"
"Lecithin","LECITHIN","02236297","","92:02.00","drug","direct","1","yes"
"lecithin","LECITHIN","02236297","","92:02.00","drug","direct","1","yes"
"lecithin","LECITHIN","02236297","","92:02.00","drug","direct","1","yes"
"Lecithin","LECITHIN","02236297","","92:02.00","drug","direct","1","yes"
"lecithin","LECITHIN","02236297","","92:02.00","drug","direct","1","yes"
"Lecithin","LECITHIN","02236297","","92:02.00","drug","direct","1","yes"
"lecithin","LECITHIN","02236297","","92:02.00","drug","direct","1","yes"
"Lécithine","Lécithine","80021702","","","natural","direct","1",""
"lecithine","Lécithine","80021702","","","natural","direct","1",""
"lécithine jamieson 1200 mg","Lécithine","80021702","","","natural","word","1",""
"lescolxl","LESCOL XL","02250527","C10AA04","24:06.08","drug","simple","1","no"
"life brand cod liver oil with vitamins A & D","COD LIVER OIL","00179957","A11CB","88:04.01","drug","word","1","yes"
"life brand evening primrose oil with vitamin e","EVENING PRIMROSE OIL WITH VITAMIN E","02230933","A11HA03 A11JC V06DX","88:20.00 88:30.00","drug","word","4","yes"
"life brand flax","Life","80037973","","","natural","word","1",""
"life brand spectrum gold multivitamin and minerals","SPECTRUM GOLD","02231243","A11AA03","88:28.01","drug","word","3","yes"
"life brand vitamin d 1000iu","VITAMIN D 1000IU","02240507","A11CC A11CC05","88:16.00","drug","word","2","yes"
"life daily multivitamin over 50","MULTIVITAMIN","02236800","","","drug","word","1","yes"
"life daily one formula for men","FOR MEN","02240797","A11JB","88:28.01","drug","word","1","no"
"Life extension 2-per-day capsulesMultivitamin","Life","80037973","","","natural","word","1",""
"life i-care","Life","80037973","","","natural","word","2",""
"life i-care lutein 5.25 mg","Lutein","80006104","","","natural","word","3",""
"Life Opinmum 50+ High Potency","Life","80037973","","","natural","word","2",""
"life pak anti aging formula","LIFE PAK","00568600","","","drug","word","1","no"
"life spectrum multi vitamin","SPECTRUM","02231247","A11AA03 S01XA20","52:12.00 88:28.01","drug","word","2","yes"
"life womens multivitamin 50+","MULTIVITAMIN","02236800","","","drug","word","1","yes"
"LifePak Multivitamin","LIFEPAK","02231437","A11AA03","88:28.01","drug","word","2","yes"
"lipidil micro","LIPIDIL MICRO","02146959","C10AB05","24:06.06","drug","direct","1","no"
"Lipitor","LIPITOR","02230711","C10AA05","24:06.08","drug","direct","1","no"
"lipitor","LIPITOR","02230711","C10AA05","24:06.08","drug","direct","1","no"
"Lipitor","LIPITOR","02230711","C10AA05","24:06.08","drug","direct","1","no"
"Lipitor","LIPITOR","02230711","C10AA05","24:06.08","drug","direct","1","no"
"lipitor","LIPITOR","02230711","C10AA05","24:06.08","drug","direct","1","no"
"lipitor","LIPITOR","02230711","C10AA05","24:06.08","drug","direct","1","no"
"lipitor","LIPITOR","02230711","C10AA05","24:06.08","drug","direct","1","no"
"lipitor","LIPITOR","02230711","C10AA05","24:06.08","drug","direct","1","no"
"lipitor","LIPITOR","02230711","C10AA05","24:06.08","drug","direct","1","no"
"lipitor","LIPITOR","02230711","C10AA05","24:06.08","drug","direct","1","no"
"Lipitor","LIPITOR","02230711","C10AA05","24:06.08","drug","direct","1","no"
"lipitor  40 mg","LIPITOR","02230711","C10AA05","24:06.08","drug","word","1","no"
"lipitor 10 mg","LIPITOR","02230711","C10AA05","24:06.08","drug","word","1","no"
"Lipitor 10mg","LIPITOR","02230711","C10AA05","24:06.08","drug","word","1","no"
"Lipitor 15mg","LIPITOR","02230711","C10AA05","24:06.08","drug","word","1","no"
"lipitor 20 mg","LIPITOR","02230711","C10AA05","24:06.08","drug","word","1","no"
"LIPITOR 80MG","LIPITOR","02230711","C10AA05","24:06.08","drug","word","1","no"
"lipitor generique","LIPITOR","02230711","C10AA05","24:06.08","drug","word","1","no"
"lipo-flavonoid","Lipo-Flavonoid","80038268","","","natural","direct","1",""
"liqui cal d","LIQUI CAL-D","01984365","A11JB","88:28.01","drug","simple","1","no"
"Liqui cal-d","LIQUI CAL-D","01984365","A11JB","88:28.01","drug","direct","1","no"
"liqui jamp","Liqui-Jamp","80021961","","","natural","simple","1",""
"liquical D 400","LIQUICAL","02247264","A11JB","88:28.01","drug","word","1","no"
"liquical d 400","LIQUICAL","02247264","A11JB","88:28.01","drug","word","1","no"
"Liquid Cal Mag","Cal Mag","80014724","","","natural","word","1",""
"liquid calcium","LIQUID CALCIUM","02230646","A12AA20","88:28.01","drug","direct","1","yes"
"liquid calcium","LIQUID CALCIUM","02230646","A12AA20","88:28.01","drug","direct","1","yes"
"liquid calcium / vitamin d3","CALCIUM","02175584","A12AA A12AA20","88:28.01 88:29.00","drug","word","2","yes"
"Liquid Vitamin D","Liquid Vitamin D","80017773","","","natural","direct","1",""
"lisinopril","LISINOPRIL","02294583","C09AA03","24:32.04","drug","direct","1","no"
"Lithium","Lithium","80036420","","","natural","direct","1",""
"LITHIUM","Lithium","80036420","","","natural","direct","1",""
"lithium","Lithium","80036420","","","natural","direct","1",""
"lithium","Lithium","80036420","","","natural","direct","1",""
"live probio+ omega 3","Oméga 3","80002335","","","natural","word","2",""
"Liver oil","Liver","80022753","","","natural","word","1",""
"London Drugs Halibut Liver Oil","HALIBUT LIVER OIL","00701246","A11CB","88:04.01","drug","word","1","yes"
"london insulin","Insulin","80016478","","","natural","word","1",""
"loprox cream","LOPROX CREAM","02221802","D01AE14","84:04.08.20","drug","direct","1","no"
"Lorazepam","LORAZEPAM","02351072","N05BA06","28:24.08","drug","direct","1","no"
"losartan","LOSARTAN","02388790","C09CA01","24:32.08","drug","direct","1","no"
"LOSARTAN/ HCTZ","LOSARTAN-HCTZ","02394391","C09DA01","24:32.08 40:28.20","drug","simple","4","no"
"Losartan/HCTZ","LOSARTAN/HCTZ","02398524","C09DA01","24:32.08 40:28.20","drug","direct","2","no"
"losec 20 mg","LOSEC 20 MG","02190915","A02BC01","56:28.36","drug","direct","1","no"
"Lovenox","LOVENOX","02012472","B01AB05","20:12.04.16","drug","direct","1","no"
"Low aspirin ASA 81 mg","ASA 81 MG","02244993","B01AC06","28:08.04.24","drug","word","1","no"
"low dose ASA 81 mg","ASA 81 MG","02244993","B01AC06","28:08.04.24","drug","word","1","no"
"Low dose ASA 81 mg","ASA 81 MG","02244993","B01AC06","28:08.04.24","drug","word","1","no"
"Low dose ASA 81 mg","ASA 81 MG","02244993","B01AC06","28:08.04.24","drug","word","1","no"
"Low dose ASA 81 mg","ASA 81 MG","02244993","B01AC06","28:08.04.24","drug","word","1","no"
"low dose ASA 81 mg","ASA 81 MG","02244993","B01AC06","28:08.04.24","drug","word","1","no"
"Low dose ASA 81 mg","ASA 81 MG","02244993","B01AC06","28:08.04.24","drug","word","1","no"
"Low dose ASA 81 mg","ASA 81 MG","02244993","B01AC06","28:08.04.24","drug","word","1","no"
"Low dose ASA 81 mg","ASA 81 MG","02244993","B01AC06","28:08.04.24","drug","word","1","no"
"Lumigan","LUMIGAN","02245860","S01EE03","52:40.28","drug","direct","1","no"
"lumigan","LUMIGAN","02245860","S01EE03","52:40.28","drug","direct","1","no"
"lutein","Lutein","80006104","","","natural","direct","1",""
"Lutein","Lutein","80006104","","","natural","direct","1",""
"lutein","Lutein","80006104","","","natural","direct","1",""
"lutein","Lutein","80006104","","","natural","direct","1",""
"lutein","Lutein","80006104","","","natural","direct","1",""
"lutein","Lutein","80006104","","","natural","direct","1",""
"lutein","Lutein","80006104","","","natural","direct","1",""
"lutein","Lutein","80006104","","","natural","direct","1",""
"lutein","Lutein","80006104","","","natural","direct","1",""
"Lutein 20 mg","Lutein 20 Mg","80018565","","","natural","direct","1",""
"Lutein 20mg","Lutein 20mg","80002987","","","natural","direct","1",""
"Lutein-Z","Lutein-Z","80011175","","","natural","direct","1",""
"Luzerne","Luzerne","80000468","","","natural","direct","1",""
"LYRICA","LYRICA","02268418","N03AX16","28:12.92","drug","direct","1","no"
"Lyrica","LYRICA","02268418","N03AX16","28:12.92","drug","direct","1","no"
"lyrica (pregabolin)","LYRICA","02268418","N03AX16","28:12.92","drug","word","1","no"
"lyrica 25 mg et 50 mg","LYRICA","02268418","N03AX16","28:12.92","drug","word","1","no"
"lysine","Lysine","80000505","","","natural","direct","1",""
"m cal d 1000","M Cal Calcium, Calcium 500 Mg + Vitamine D 1000 Ui","80019536","","","natural","simple","1",""
"M cal orange 500 mg 1000UI","Orange","80035916","","","natural","word","1",""
"M-CAL ( orange )500mg -1000UI, CO","Orange","80035916","","","natural","word","1",""
"M-Cal 500 mg","M-Cal 500 Mg","80055526","","","natural","direct","1",""
"m-cal 500 mg 1000 ui","M-Cal 500 Mg","80055526","","","natural","word","1",""
"m-cal d 400 ui 500 mg","M-Cal D","80013329","","","natural","word","1",""
"M-cal( orange ) 500mg -1000ui, co","Orange","80035916","","","natural","word","1",""
"maca","Maca","80033072","","","natural","direct","1",""
"Maca","Maca","80033072","","","natural","direct","1",""
"maca magic","Maca","80033072","","","natural","word","1",""
"magnesium","MAGNESIUM","00532479","A12CC","88:29.00","drug","direct","1","yes"
"magnésium","MAGNESIUM","00532479","A12CC","88:29.00","drug","direct","1","yes"
"Magnesium","MAGNESIUM","00532479","A12CC","88:29.00","drug","direct","1","yes"
"magnesium","MAGNESIUM","00532479","A12CC","88:29.00","drug","direct","1","yes"
"magnesium","MAGNESIUM","00532479","A12CC","88:29.00","drug","direct","1","yes"
"magnesium","MAGNESIUM","00532479","A12CC","88:29.00","drug","direct","1","yes"
"magnesium","MAGNESIUM","00532479","A12CC","88:29.00","drug","direct","1","yes"
"Magnesium","MAGNESIUM","00532479","A12CC","88:29.00","drug","direct","1","yes"
"magnesium","MAGNESIUM","00532479","A12CC","88:29.00","drug","direct","1","yes"
"magnesium","MAGNESIUM","00532479","A12CC","88:29.00","drug","direct","1","yes"
"magnesium","MAGNESIUM","00532479","A12CC","88:29.00","drug","direct","1","yes"
"Magnesium","MAGNESIUM","00532479","A12CC","88:29.00","drug","direct","1","yes"
"magnesium","MAGNESIUM","00532479","A12CC","88:29.00","drug","direct","1","yes"
"magnesium","MAGNESIUM","00532479","A12CC","88:29.00","drug","direct","1","yes"
"magnésium","MAGNESIUM","00532479","A12CC","88:29.00","drug","direct","1","yes"
"Magnesium","MAGNESIUM","00532479","A12CC","88:29.00","drug","direct","1","yes"
"magnesium","MAGNESIUM","00532479","A12CC","88:29.00","drug","direct","1","yes"
"magnesium","MAGNESIUM","00532479","A12CC","88:29.00","drug","direct","1","yes"
"magnesium","MAGNESIUM","00532479","A12CC","88:29.00","drug","direct","1","yes"
"magnesium","MAGNESIUM","00532479","A12CC","88:29.00","drug","direct","1","yes"
"magnesium","MAGNESIUM","00532479","A12CC","88:29.00","drug","direct","1","yes"
"magnesium","MAGNESIUM","00532479","A12CC","88:29.00","drug","direct","1","yes"
"Magnesium","MAGNESIUM","00532479","A12CC","88:29.00","drug","direct","1","yes"
"Magnesium","MAGNESIUM","00532479","A12CC","88:29.00","drug","direct","1","yes"
"magnesium","MAGNESIUM","00532479","A12CC","88:29.00","drug","direct","1","yes"
"magnesium","MAGNESIUM","00532479","A12CC","88:29.00","drug","direct","1","yes"
"Magnesium","MAGNESIUM","00532479","A12CC","88:29.00","drug","direct","1","yes"
"magnesium","MAGNESIUM","00532479","A12CC","88:29.00","drug","direct","1","yes"
"magnesium  calcium","MAGNESIUM","00532479","A12AA A12CC","88:29.00","drug","word","2","yes"
"magnesium - 100 mg","MAGNESIUM","00532479","A12CC","88:29.00","drug","word","1","yes"
"magnesium 100 mg","Magnesium 100 Mg","80000447","","","natural","direct","1",""
"Magnesium 250mg","Magnesium 250mg","80005579","","","natural","direct","1",""
"magnesium 300mg","Magnesium Citrate","80027485","","","natural","direct","1",""
"magnesium 500 mg","Magnesium 500 Mg","80021268","","","natural","direct","1",""
"magnesium 500mg","Magnesium 500mg","80052076","","","natural","direct","1",""
"magnesium bigycinate plus","MAGNESIUM","00532479","A12CC","88:29.00","drug","word","1","yes"
"magnesium bisglycinate","Magnesium Bisglycinate","80009136","","","natural","direct","1",""
"magnesium citrate","MAGNESIUM CITRATE","02151588","A12CC30","88:29.00","drug","direct","1","yes"
"magnesium citrate","MAGNESIUM CITRATE","02151588","A12CC30","88:29.00","drug","direct","1","yes"
"Magnesium Citrate","MAGNESIUM CITRATE","02151588","A12CC30","88:29.00","drug","direct","1","yes"
"Magnesium Citrate","MAGNESIUM CITRATE","02151588","A12CC30","88:29.00","drug","direct","1","yes"
"magnesium citrate","MAGNESIUM CITRATE","02151588","A12CC30","88:29.00","drug","direct","1","yes"
"Magnesium CItrate","MAGNESIUM CITRATE","02151588","A12CC30","88:29.00","drug","direct","1","yes"
"magnesium citrate","MAGNESIUM CITRATE","02151588","A12CC30","88:29.00","drug","direct","1","yes"
"magnesium citrate 150 mg","MAGNESIUM","00532479","A12CC A12CC30","88:29.00","drug","word","2","yes"
"magnésium glycinate","Magnesium Glycinate","80015993","","","natural","direct","1",""
"magnesium malate nature sunshine","MAGNESIUM","00532479","A12CC","88:29.00","drug","word","1","yes"
"magnesium nitrate","MAGNESIUM","00532479","A12CC","88:29.00","drug","word","1","yes"
"magnésium plus","Magnesium Plus","80028646","","","natural","direct","1",""
"Magnesium Sulfate","MAGNESIUM","00532479","A12CC","88:29.00","drug","word","1","yes"
"Magsmart","Magsmart","80029321","","","natural","direct","1",""
"Mammoth protein powder","Protein","80057932","","","natural","word","1",""
"Mannatech optimal support packets","Optimal Support Packets","80036663","","","natural","word","1",""
"mar atenolol","ATENOLOL","00828793","C07AB03","24:24.00","drug","word","1","no"
"mar-atenolol DIN 2371995","MAR-ATENOLOL","02371995","C07AB03","24:24.00","drug","code","1",""
"MAR-ATENOLOL, 02371987","MAR-ATENOLOL","02371987","C07AB03","24:24.00","drug","code","1",""
"marvelon 21","MARVELON 21","02042487","G03AA09","68:12.00","drug","direct","1","no"
"mavik","MAVIK","02231457","C09AA10","24:32.04","drug","direct","1","no"
"Mavik","MAVIK","02231457","C09AA10","24:32.04","drug","direct","1","no"
"mavik","MAVIK","02231457","C09AA10","24:32.04","drug","direct","1","no"
"Mavik","MAVIK","02231457","C09AA10","24:32.04","drug","direct","1","no"
"Mavik","MAVIK","02231457","C09AA10","24:32.04","drug","direct","1","no"
"Mavik","MAVIK","02231457","C09AA10","24:32.04","drug","direct","1","no"
"Mavik","MAVIK","02231457","C09AA10","24:32.04","drug","direct","1","no"
"mavik","MAVIK","02231457","C09AA10","24:32.04","drug","direct","1","no"
"mavik","MAVIK","02231457","C09AA10","24:32.04","drug","direct","1","no"
"Mavik","MAVIK","02231457","C09AA10","24:32.04","drug","direct","1","no"
"Max GXL","Maxgxl","80028934","","","natural","simple","1",""
"mcal d 1000","M Cal Calcium, Calcium 500 Mg + Vitamine D 1000 Ui","80019536","","","natural","simple","1",""
"MCAL D 1000","M Cal Calcium, Calcium 500 Mg + Vitamine D 1000 Ui","80019536","","","natural","simple","1",""
"mcal d1000","M Cal Calcium, Calcium 500 Mg + Vitamine D 1000 Ui","80019536","","","natural","direct","1",""
"mcal d400","M-Cal D","80013329","","","natural","direct","1",""
"MCAL d400","M-Cal D","80013329","","","natural","direct","1",""
"mcal d400","M-Cal D","80013329","","","natural","direct","1",""
"mcal d400 500mg-400ui","M-Cal D","80013329","","","natural","word","1",""
"MCal D800","M Cal Calcium, Calcium 500 Mg + Vitamine D 800 Ui","80019533","","","natural","direct","1",""
"MCT Energy","Mct Energy","80042097","","","natural","direct","1",""
"medical marijuana","Medical","80062894","","","natural","word","1",""
"medical marijuana","Medical","80062894","","","natural","word","1",""
"Medical marijuana","Medical","80062894","","","natural","word","1",""
"medical marijuana","Medical","80062894","","","natural","word","1",""
"medical marijuana","Medical","80062894","","","natural","word","1",""
"mediclear plus","Mediclear Plus","80039270","","","natural","direct","1",""
"mega antioxidant","Mega Antioxidant","80029770","","","natural","direct","1",""
"mega cal calcium","CALCIUM","02175584","A12AA","88:29.00","drug","word","1","yes"
"mega nutrition organic superfood","Superfood","80039032","","","natural","word","1",""
"mega vitamin c","VITAMIN C","00780634","A11GA01","88:12.00","drug","word","1","yes"
"mega-cal calcium","CALCIUM","02175584","A12AA","88:29.00","drug","word","1","yes"
"megagenics ultra flor balance","BALANCE","00390496","V07AV","38:00.00","drug","word","1","yes"
"Melaleuca","Melaleuca Essential Oil","80060950","","","natural","direct","1",""
"Melaleuca AM PM Vitality 6 for 50+","Vitality","80023630","","","natural","word","2",""
"Melaleuca PM Vitality Multivitamin","MULTIVITAMIN","02236800","","","drug","word","1","yes"
"Melaleuca Provex cv","Melaleuca Essential Oil","80060950","","","natural","word","1",""
"Melaleuca Vitality 6 Nutrition for 50+","Vitality","80023630","","","natural","word","2",""
"melaluca oligo multivitamin","MULTIVITAMIN","02236800","","","drug","word","1","yes"
"melange d'huiles de poisson","MELANGE","02233170","","92:02.00","drug","word","1","no"
"melatonin","Melatonin","80000833","","","natural","direct","1",""
"melatonin","Melatonin","80000833","","","natural","direct","1",""
"melatonin","Melatonin","80000833","","","natural","direct","1",""
"melatonin","Melatonin","80000833","","","natural","direct","1",""
"Melatonin","Melatonin","80000833","","","natural","direct","1",""
"melatonin","Melatonin","80000833","","","natural","direct","1",""
"melatonin","Melatonin","80000833","","","natural","direct","1",""
"melatonin","Melatonin","80000833","","","natural","direct","1",""
"melatonin","Melatonin","80000833","","","natural","direct","1",""
"melatonin","Melatonin","80000833","","","natural","direct","1",""
"melatonin","Melatonin","80000833","","","natural","direct","1",""
"melatonin","Melatonin","80000833","","","natural","direct","1",""
"melatonin","Melatonin","80000833","","","natural","direct","1",""
"melatonin","Melatonin","80000833","","","natural","direct","1",""
"melatonin","Melatonin","80000833","","","natural","direct","1",""
"melatonin","Melatonin","80000833","","","natural","direct","1",""
"Melatonin","Melatonin","80000833","","","natural","direct","1",""
"melatonin","Melatonin","80000833","","","natural","direct","1",""
"melatonin","Melatonin","80000833","","","natural","direct","1",""
"melatonin 10 mg","Melatonin 10 Mg","80027419","","","natural","direct","1",""
"melatonin 3 mg","Melatonin 3 Mg","80000834","","","natural","direct","1",""
"melatonin 3mg","Melatonin 3mg","80004260","","","natural","direct","1",""
"melatonin 3mg","Melatonin 3mg","80004260","","","natural","direct","1",""
"melatonin 5 mg","Melatonin 5 Mg","80000890","","","natural","direct","1",""
"Melatonin 5 mg","Melatonin 5 Mg","80000890","","","natural","direct","1",""
"melatonine","Mélatonine","80001290","","","natural","direct","1",""
"melatonine","Mélatonine","80001290","","","natural","direct","1",""
"melatonine","Mélatonine","80001290","","","natural","direct","1",""
"meloxicam","MELOXICAM","02324326","M01AC06","28:08.04.92","drug","direct","1","no"
"men's 50 plus multi vitamin","50 PLUS","02073102","A11AA03 S01XA20","52:12.00 88:28.00 88:28.01","drug","word","3","no"
"men's formula multivitamin","MEN'S FORMULA","02230701","A11AA03","88:28.01","drug","word","3","yes"
"Meno","Meno","80004988","","","natural","direct","1",""
"Menopause (homeopathic remedyA. Vogel)","Ménopause","80003245","","","natural","word","1",""
"menosense","Menosense","80006313","","","natural","direct","1",""
"mens 50 plus vitamins","50 PLUS","02073102","A11AA03","88:28.00","drug","word","1","no"
"mens multi vitamin","MULTI","02243300","S01XA20","52:12.00","drug","word","1","yes"
"mens multivitamin","MULTIVITAMIN","02236800","","","drug","word","1","yes"
"mens multivitamin","MULTIVITAMIN","02236800","","","drug","word","1","yes"
"meriva -sr","Meriva","80042458","","","natural","word","1",""
"metabolic nutrtion","Metabolic","80034981","","","natural","word","1",""
"metagenics kaprex","Kaprex","80051228","","","natural","word","1",""
"metagenics omega genics","Oméga","80060745","","","natural","word","1",""
"metamucil 525 mg fibre","Fibre","80041715","","","natural","word","1",""
"metformin","METFORMIN","02231389","A10BA02","68:20.04","drug","direct","1","no"
"metformin","METFORMIN","02231389","A10BA02","68:20.04","drug","direct","1","no"
"metformin","METFORMIN","02231389","A10BA02","68:20.04","drug","direct","1","no"
"Metformin","METFORMIN","02231389","A10BA02","68:20.04","drug","direct","1","no"
"Metformin","METFORMIN","02231389","A10BA02","68:20.04","drug","direct","1","no"
"metformin","METFORMIN","02231389","A10BA02","68:20.04","drug","direct","1","no"
"Metformin","METFORMIN","02231389","A10BA02","68:20.04","drug","direct","1","no"
"metformin","METFORMIN","02231389","A10BA02","68:20.04","drug","direct","1","no"
"Metformin","METFORMIN","02231389","A10BA02","68:20.04","drug","direct","1","no"
"Metformin","METFORMIN","02231389","A10BA02","68:20.04","drug","direct","1","no"
"metformin","METFORMIN","02231389","A10BA02","68:20.04","drug","direct","1","no"
"Metformin","METFORMIN","02231389","A10BA02","68:20.04","drug","direct","1","no"
"Metformin","METFORMIN","02231389","A10BA02","68:20.04","drug","direct","1","no"
"Metformin","METFORMIN","02231389","A10BA02","68:20.04","drug","direct","1","no"
"metformin","METFORMIN","02231389","A10BA02","68:20.04","drug","direct","1","no"
"Metformin","METFORMIN","02231389","A10BA02","68:20.04","drug","direct","1","no"
"Metformin","METFORMIN","02231389","A10BA02","68:20.04","drug","direct","1","no"
"metformin","METFORMIN","02231389","A10BA02","68:20.04","drug","direct","1","no"
"Metformin","METFORMIN","02231389","A10BA02","68:20.04","drug","direct","1","no"
"Metformin","METFORMIN","02231389","A10BA02","68:20.04","drug","direct","1","no"
"Metformin","METFORMIN","02231389","A10BA02","68:20.04","drug","direct","1","no"
