"input","match","din/npn","dtc","ahfs","database","pres","type","both"
"Jamiesons Ginkgo Biloba","GINKGO BILOBA","02233146","","92:02.00","drug","NO","word","yes"
"jamp asa 80 mg","ASA 80","02321750","N02BA01","28:08.04.24","drug","","word","no"
"jamp asa 80 mg","ASA 80 MG","02245083","N02BA01","28:08.04.24","drug","","word","no"
"Jamp calcium 500 mg","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"Jamp calcium 500 mg","CALCIUM 500 MG","02243626","A12AA04","40:12.00","drug","","word","yes"
"jamp calcium 500mg","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"jamp calcium 500mg","CALCIUM 500MG","02240977","A12AA20","88:29.00","drug","","word","yes"
"Jamp Ferrous sulfate 300 mg","Ferrous Sulfate","80043047","","","natural","","word",""
"Jamp Ferrous sulfate 300 mg","Ferrous Sulfate 300 Mg","00782114","","","natural","","word",""
"jamp vitamine d 10 000 ui","VITAMINE D","02136872","A11CC","88:16.00","drug","","word","yes"
"jamp vitamine d 10 000 ui","VITAMINE D 10 000","02417995","A11CC05","88:16.00","drug","","word","no"
"joint care pain relief","Joint Care","80007251","","","natural","","word",""
"joint care pain relief","Pain Relief","80066033","","","natural","","word",""
"joint care pain relief","Relief","80051410","","","natural","","word",""
"Joint Ease Glucosamin Chondriotin Sulfate (500 and 400mg)","Ease","80061662","","","natural","","word",""
"Joint Ease Glucosamin Chondriotin Sulfate (500 and 400mg)","Joint Ease","80039079","","","natural","","word",""
"juiced wheat grass","Red X Lab Juiced","80064907","","","natural","","word",""
"juiced wheat grass","Wheat Grass","80048193","","","natural","","word",""
"Kelp with Glutamic Acid","Acid","80023450","","","natural","","word",""
"Kelp with Glutamic Acid","Glutamic Acid","80030136","","","natural","","word",""
"Kelp with Glutamic Acid","Kelp","80000497","","","natural","","word",""
"Kirkland  calcium plus vitamin D","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"Kirkland  calcium plus vitamin D","CALCIUM PLUS","02239459","","","drug","","word","yes"
"Kirkland  calcium plus vitamin D","VITAMIN D","02241564","A11CC","88:16.00","drug","","word","yes"
"kirkland brand calcium plus","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"kirkland brand calcium plus","CALCIUM PLUS","02239459","","","drug","","word","yes"
"kirkland brand vitamin d3","Daily Multi Vitamin","80067478","","","natural","NO","word",""
"kirkland brand vitamin d3","Daily Multi Vitamin","80067478","","","natural","","word",""
"kirkland brand vitamin d3","Vitamin D3","02238918","","","natural","NO","word",""
"kirkland brand vitamin d3","Vitamin D3","02238918","","","natural","","word",""
"kirkland calcium 600 mg","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"kirkland calcium 600 mg","CALCIUM 600","02239457","A12AA04","40:12.00","drug","","word","yes"
"Kirkland calcium plus","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"Kirkland calcium plus","CALCIUM PLUS","02239459","","","drug","","word","yes"
"Kirkland Formula Forte Men","Formula Forte Men","80057607","","","natural","","word",""
"Kirkland Formula Forte Men","Forte","80066882","","","natural","","word",""
"Kirkland Formula Forte Men","Multivitamins And Minerals Formula Forte With Lutein","80027371","","","natural","","word",""
"Kirkland Formula Forte Senior","Formula Forte Senior","80057608","","","natural","","word",""
"Kirkland Formula Forte Senior","Forte","80066882","","","natural","","word",""
"Kirkland Formula Forte Senior","Multivitamins And Minerals Formula Forte With Lutein","80027371","","","natural","","word",""
"Kirkland Formula Forte Senior","Multivitamins And Minerals With Lutein And Lycopene Formula Senior","80007355","","","natural","","word",""
"Kirkland Formula Forte Women","Formula Forte Women","80055013","","","natural","","word",""
"Kirkland Formula Forte Women","Forte","80066882","","","natural","","word",""
"Kirkland Formula Forte Women","Multivitamins And Minerals Formula Forte With Lutein","80027371","","","natural","","word",""
"Kirkland Formula Senior","Multivitamins And Minerals Senior With Lutein And Lycopene","80006492","","","natural","","word",""
"Kirkland Formula Senior","Multivitamins And Minerals With Lutein And Lycopene Formula Senior","80007355","","","natural","","word",""
"Kirkland Forte Senior with lutein and lycopene","Forte","80066882","","","natural","","word",""
"Kirkland Forte Senior with lutein and lycopene","Forte Senior With Lutein And Lycopene","80028626","","","natural","","word",""
"Kirkland Forte Senior with lutein and lycopene","Lutein","80006104","","","natural","","word",""
"Kirkland Forte Senior with lutein and lycopene","Lycopene","80009675","","","natural","","word",""
"Kirkland Forte Senior with lutein and lycopene","Multivitamins And Minerals With Lutein And Lycopene Formula Senior","80007355","","","natural","","word",""
"Kirkland Signature Vitamin D3","Daily Multi Vitamin","80067478","","","natural","","word",""
"Kirkland Signature Vitamin D3","Vitamin D3","02238918","","","natural","","word",""
"kirkland vitamin c 1000 mg","C 1000","00700827","A11GA01","88:12.00","drug","","word","yes"
"kirkland vitamin c 1000 mg","VITAMIN C","00780634","A11GA01","88:12.00","drug","","word","yes"
"kirkland vitamin c 1000 mg","VITAMIN C 1000","01993895","A11GA01","88:12.00","drug","","word","no"
"kirkland vitamin c 1000 mg","VITAMIN C 1000 MG","02246172","A11GA01","88:12.00","drug","","word","yes"
"kirkland vitamin c 500mg","VITAMIN C","00780634","A11GA01","88:12.00","drug","","word","yes"
"kirkland vitamin c 500mg","VITAMIN C 500MG","02240812","A11GA01","88:12.00","drug","","word","yes"
"Kirkland Vitamin D3","Daily Multi Vitamin","80067478","","","natural","","word",""
"Kirkland Vitamin D3","Vitamin D3","02238918","","","natural","","word",""
"kirkland vitamin d3 1000 iu","D3 1000","80008513","","","natural","","word",""
"kirkland vitamin d3 1000 iu","Daily Multi Vitamin","80067478","","","natural","","word",""
"kirkland vitamin d3 1000 iu","Vitamin D3","02238918","","","natural","","word",""
"kirkland vitamin d3 1000 iu","Vitamin D3 1000 Iu","80004310","","","natural","","word",""
"kirkland vitamin d3 1000 iu","Vitamin D3 1000 Iu","80015280","","","natural","","word",""
"krill oil omega","Krill","80033805","","","natural","","word",""
"krill oil omega","Krill Oil","80020632","","","natural","","word",""
"krill oil omega","Oméga","80060745","","","natural","","word",""
"Lakota Joint Pain Arthroformule","Herbal Pain Relief Formula","80005988","","","natural","","word",""
"Lakota Joint Pain Arthroformule","Joint Pain","80016844","","","natural","","word",""
"life brand evening primrose oil with vitamin e","EVENING PRIMROSE OIL","02241144","V06DX","88:30.00","drug","","word","yes"
"life brand evening primrose oil with vitamin e","EVENING PRIMROSE OIL WITH VITAMIN E","02230933","A11JC","88:20.00 88:30.00","drug","","word","yes"
"life brand evening primrose oil with vitamin e","VITAMIN E","02231214","A11HA03","88:20.00","drug","","word","yes"
"life brand spectrum gold multivitamin and minerals","MULTIVITAMIN","02236800","","","drug","NO","word","yes"
"life brand spectrum gold multivitamin and minerals","SPECTRUM","02231247","A11AA03","88:28.01","drug","NO","word","yes"
"life brand spectrum gold multivitamin and minerals","SPECTRUM GOLD","02231243","A11AA03","88:28.01","drug","NO","word","yes"
"life brand vitamin d 1000iu","VITAMIN D","02241564","A11CC","88:16.00","drug","","word","yes"
"life brand vitamin d 1000iu","VITAMIN D 1000IU","02240507","A11CC05","88:16.00","drug","","word","yes"
"life i-care","I-Care","80035975","","","natural","","word",""
"life i-care","Life","80037973","","","natural","","word",""
"life i-care lutein 5.25 mg","I-Care","80035975","","","natural","YES","word",""
"life i-care lutein 5.25 mg","Life","80037973","","","natural","YES","word",""
"life i-care lutein 5.25 mg","Lutein","80006104","","","natural","YES","word",""
"Life Opinmum 50+ High Potency","Life","80037973","","","natural","","word",""
"Life Opinmum 50+ High Potency","No Fishy Aftertaste Extra Strength Omega-3 (700 Mg)","80066832","","","natural","","word",""
"life spectrum multi vitamin","MULTI","02243300","S01XA20","52:12.00","drug","","word","yes"
"life spectrum multi vitamin","SPECTRUM","02231247","A11AA03","88:28.01","drug","","word","yes"
"LifePak Multivitamin","LIFEPAK","02231437","A11AA03","88:28.01","drug","","word","yes"
"LifePak Multivitamin","MULTIVITAMIN","02236800","","","drug","","word","yes"
"liquid calcium / vitamin d3","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"liquid calcium / vitamin d3","LIQUID CALCIUM","02230646","A12AA20","88:28.01","drug","","word","yes"
"live probio+ omega 3","Oméga","80060745","","","natural","","word",""
"live probio+ omega 3","Oméga 3","80002335","","","natural","","word",""
"LOSARTAN/ HCTZ","LOSARTAN-HCTZ","02394391","C09DA01","24:32.08 40:28.20","drug","","simple","no"
"LOSARTAN/ HCTZ","LOSARTAN/HCTZ","02398524","C09DA01","24:32.08 40:28.20","drug","","simple","no"
"magnesium  calcium","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"magnesium  calcium","MAGNESIUM","00532479","A12CC","88:29.00","drug","","word","yes"
"magnesium citrate 150 mg","MAGNESIUM","00532479","A12CC","88:29.00","drug","","word","yes"
"magnesium citrate 150 mg","MAGNESIUM CITRATE","02151588","A12CC30","88:29.00","drug","","word","yes"
"Melaleuca AM PM Vitality 6 for 50+","Melaleuca Essential Oil","80060950","","","natural","","word",""
"Melaleuca AM PM Vitality 6 for 50+","Vitality","80023630","","","natural","","word",""
"Melaleuca Vitality 6 Nutrition for 50+","Melaleuca Essential Oil","80060950","","","natural","","word",""
"Melaleuca Vitality 6 Nutrition for 50+","Vitality","80023630","","","natural","","word",""
"men's 50 plus multi vitamin","50 PLUS","02073102","A11AA03","88:28.00","drug","","word","no"
"men's 50 plus multi vitamin","MEN'S","02244246","A11AA03","88:28.01","drug","","word","yes"
"men's 50 plus multi vitamin","MULTI","02243300","S01XA20","52:12.00","drug","","word","yes"
"men's formula multivitamin","MEN'S","02244246","A11AA03","88:28.01","drug","NO","word","yes"
"men's formula multivitamin","MEN'S FORMULA","02230701","A11AA03","88:28.01","drug","NO","word","yes"
"men's formula multivitamin","MULTIVITAMIN","02236800","","","drug","NO","word","yes"
"Methyl Sulfonyl Methane","Methylsulfonylmethane","80009819","","","natural","","simple",""
"Methyl Sulfonyl Methane","Msm 1000 Mg","80001844","","","natural","","simple",""
"Motrin extra strength","Extra","80062086","","","natural","","word",""
"Motrin extra strength","Strength","80060537","","","natural","","word",""
"multi sure for men","FOR MEN","02240797","A11JB","88:28.01","drug","","word","no"
"multi sure for men","MULTI","02243300","S01XA20","52:12.00","drug","","word","yes"
"multi sure for men over 50","FOR MEN","02240797","A11JB","88:28.01","drug","","word","no"
"multi sure for men over 50","MULTI","02243300","S01XA20","52:12.00","drug","","word","yes"
"Multi Sure Multivitamin","MULTI","02243300","S01XA20","52:12.00","drug","","word","yes"
"Multi Sure Multivitamin","MULTIVITAMIN","02236800","","","drug","","word","yes"
"multi vitamin b complex","MULTI","02243300","S01XA20","52:12.00","drug","","word","yes"
"multi vitamin b complex","VITAMIN B COMPLEX","00609374","","","drug","","word","yes"
"multi vitamin centrum select 50","CENTRUM SELECT","02237688","A11AA03","88:28.01","drug","","word","yes"
"multi vitamin centrum select 50","MULTI","02243300","S01XA20","52:12.00","drug","","word","yes"
"Multi Vitamin for Men","FOR MEN","02240797","A11JB","88:28.01","drug","","word","no"
"Multi Vitamin for Men","MULTI","02243300","S01XA20","52:12.00","drug","","word","yes"
"Multi Vitamin for Women","FOR WOMEN","02240798","A11JB","88:28.01","drug","","word","no"
"Multi Vitamin for Women","MULTI","02243300","S01XA20","52:12.00","drug","","word","yes"
"Multi Vitamin for Women 50+","FOR WOMEN","02240798","A11JB","88:28.01","drug","","word","no"
"Multi Vitamin for Women 50+","FOR WOMEN","02240798","A11JB","88:28.01","drug","NO","word","no"
"Multi Vitamin for Women 50+","FOR WOMEN","02240798","A11JB","88:28.01","drug","YES","word","no"
"Multi Vitamin for Women 50+","MULTI","02243300","S01XA20","52:12.00","drug","","word","yes"
"Multi Vitamin for Women 50+","MULTI","02243300","S01XA20","52:12.00","drug","NO","word","yes"
"Multi Vitamin for Women 50+","MULTI","02243300","S01XA20","52:12.00","drug","YES","word","yes"
"Multi Vitamin Gummies for Men","FOR MEN","02240797","A11JB","88:28.01","drug","NO","word","no"
"Multi Vitamin Gummies for Men","MULTI","02243300","S01XA20","52:12.00","drug","NO","word","yes"
"multi vitamin silver plus","MULTI","02243300","S01XA20","52:12.00","drug","","word","yes"
"multi vitamin silver plus","SILVER PLUS","02397226","D11AX12","84:04.92","drug","","word","no"
"multi vitamin women's 50+","MULTI","02243300","S01XA20","52:12.00","drug","","word","yes"
"multi vitamin women's 50+","WOMEN'S","02244123","A11AA03","88:28.01","drug","","word","yes"
"multisure vitamin and mineral formula","Daily Multi Vitamin","80067478","","","natural","","word",""
"multisure vitamin and mineral formula","Glycentials","80013650","","","natural","","word",""
"multisure vitamin and mineral formula","Prenatal With Dha","80048588","","","natural","","word",""
"multivitamin - women's formula","MULTIVITAMIN","02236800","","","drug","","word","yes"
"multivitamin - women's formula","WOMEN'S","02244123","A11AA03","88:28.01","drug","","word","yes"
"multivitamin - women's formula","WOMEN'S FORMULA","02230702","A11AA03","88:28.01","drug","","word","yes"
"multivitamin 50 plus","50 PLUS","02073102","A11AA03","88:28.00","drug","","word","no"
"multivitamin 50 plus","50 PLUS","02073102","A11AA03","88:28.00","drug","NO","word","no"
"multivitamin 50 plus","MULTIVITAMIN","02236800","","","drug","","word","yes"
"multivitamin 50 plus","MULTIVITAMIN","02236800","","","drug","NO","word","yes"
"multivitamin 50+ for men","FOR MEN","02240797","A11JB","88:28.01","drug","","word","no"
"multivitamin 50+ for men","MULTIVITAMIN","02236800","","","drug","","word","yes"
"Multivitamin Centrum Select 50+","CENTRUM SELECT","02237688","A11AA03","88:28.01","drug","","word","yes"
"Multivitamin Centrum Select 50+","MULTIVITAMIN","02236800","","","drug","","word","yes"
"multivitamin for women 50+","FOR WOMEN","02240798","A11JB","88:28.01","drug","","word","no"
"MultiVitamin for Women 50+","FOR WOMEN","02240798","A11JB","88:28.01","drug","NO","word","no"
"multivitamin for women 50+","MULTIVITAMIN","02236800","","","drug","","word","yes"
"MultiVitamin for Women 50+","MULTIVITAMIN","02236800","","","drug","NO","word","yes"
"Multivitamin Men's Ultra complete","COMPLETE","02427559","N02BE51","48:08.00","drug","","word","yes"
"Multivitamin Men's Ultra complete","MEN'S","02244246","A11AA03","88:28.01","drug","","word","yes"
"Multivitamin Men's Ultra complete","MULTIVITAMIN","02236800","","","drug","","word","yes"
"Multivitamin with iron","IRON","02049732","B03AE10","88:29.00","drug","","word","yes"
"Multivitamin with iron","MULTIVITAMIN","02236800","","","drug","","word","yes"
"multivitamin with minerals for men 50+","FOR MEN","02240797","A11JB","88:28.01","drug","NO","word","no"
"multivitamin with minerals for men 50+","MULTIVITAMIN","02236800","","","drug","NO","word","yes"
"Multivitamins & Multiminerals and Lutein","MULTIMINERALS","00656585","","88:29.00","drug","YES","word","no"
"Multivitamins & Multiminerals and Lutein","MULTIVITAMINS","00244341","A11BA","88:28.00","drug","YES","word","yes"
"Multivitamins for women 50+ (MultiSure)","FOR WOMEN","02240798","A11JB","88:28.01","drug","","word","no"
"Multivitamins for women 50+ (MultiSure)","MULTIVITAMINS","00244341","A11BA","88:28.00","drug","","word","yes"
"natural factor vitamin c 1000 mg","C 1000","00700827","A11GA01","88:12.00","drug","NO","word","yes"
"natural factor vitamin c 1000 mg","VITAMIN C","00780634","A11GA01","88:12.00","drug","NO","word","yes"
"natural factor vitamin c 1000 mg","VITAMIN C 1000","01993895","A11GA01","88:12.00","drug","NO","word","no"
"natural factor vitamin c 1000 mg","VITAMIN C 1000 MG","02246172","A11GA01","88:12.00","drug","NO","word","yes"
"natural factor vitmain d3 1000 iu","D3 1000","80008513","","","natural","","word",""
"natural factor vitmain d3 1000 iu","Vitamin D3 1000 Iu","80015280","","","natural","","word",""
"Natural Factors Acidophilus & Bifidus","Acidophilus","80012580","","","natural","","word",""
"Natural Factors Acidophilus & Bifidus","Acidophilus & Bifidus","80034507","","","natural","","word",""
"Natural Factors Acidophilus & Bifidus","Bifidus","80017833","","","natural","","word",""
"natural factors acidophilus and bifidus","Acidophilus","80012580","","","natural","","word",""
"natural factors acidophilus and bifidus","Bifidus","80017833","","","natural","","word",""
"natural factors calcium et magnesium","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"natural factors calcium et magnesium","MAGNESIUM","00532479","A12CC","88:29.00","drug","","word","yes"
"natural factors hi potency B complex 50mg","B Complex","02239815","","","natural","","word",""
"natural factors hi potency B complex 50mg","Hi Potency B Complex","00624969","","","natural","","word",""
"Nature Made Fish oil","Fish Oil","80000846","","","natural","","word",""
"Nature Made Fish oil","Nature Made","80000143","","","natural","","word",""
"nature's bounty extra bounty extra strength co-q-10","Chewable Vitamin C-500 Mg With Rose Hips","80004691","","","natural","NO","word",""
"nature's bounty extra bounty extra strength co-q-10","Extra","80062086","","","natural","NO","word",""
"nature's bounty extra bounty extra strength co-q-10","Strength","80060537","","","natural","NO","word",""
"nature's bounty hair and nails","Chewable Vitamin C-500 Mg With Rose Hips","80004691","","","natural","NO","word",""
"nature's bounty hair and nails","Hair","80033462","","","natural","NO","word",""
"nature's bounty hair and nails","Ongles Et Cheveux","80027821","","","natural","NO","word",""
"natures bounty vitamin c 500mg","VITAMIN C","00780634","A11GA01","88:12.00","drug","","word","yes"
"natures bounty vitamin c 500mg","VITAMIN C 500MG","02240812","A11GA01","88:12.00","drug","","word","yes"
"North Coast Naturals Daily Greens","Greens","80025575","","","natural","","word",""
"North Coast Naturals Daily Greens","Multivitamins & Multiminerals Formula For Women Tablet","02242937","","","natural","","word",""
"Not sure of name, birth control (used to be tri-phasil)","Birth","80045222","","","natural","","word",""
"Not sure of name, birth control (used to be tri-phasil)","Control","00504092","","","natural","","word",""
"NOW Cal mag and D3 Zinc","Cal Mag","80014724","","","natural","","word",""
"NOW Cal mag and D3 Zinc","Zinc","80000717","","","natural","","word",""
"nutrasea omega 3 1250 mg","Nutrasea","80007502","","","natural","","word",""
"nutrasea omega 3 1250 mg","Oméga","80060745","","","natural","","word",""
"nutrasea omega 3 1250 mg","Oméga 3","80002335","","","natural","","word",""
"nutrasea omega 3 fish oil","Fish Oil","80000846","","","natural","","word",""
"nutrasea omega 3 fish oil","Nutrasea","80007502","","","natural","","word",""
"nutrasea omega 3 fish oil","Oméga","80060745","","","natural","","word",""
"nutrasea omega 3 fish oil","Oméga 3","80002335","","","natural","","word",""
"nutrasea omega 3 fish oil","Omega 3 Fish Oil","80002752","","","natural","","word",""
"nutrilite double X dietary supplement multivitamin","DOUBLE X","02244249","A11AA03","88:28.01","drug","","word","no"
"nutrilite double X dietary supplement multivitamin","MULTIVITAMIN","02236800","","","drug","","word","yes"
"nutrilite double X dietary supplement multivitamin","NUTRILITE DOUBLE X","02246512","A11AA03","88:28.01","drug","","word","yes"
"omega  3 krill oil","Krill","80033805","","","natural","","word",""
"omega  3 krill oil","Krill Oil","80020632","","","natural","","word",""
"omega  3 krill oil","Oméga","80060745","","","natural","","word",""
"Omega 3  2000 mg","Oméga","80060745","","","natural","","word",""
"Omega 3  2000 mg","Oméga 3","80002335","","","natural","","word",""
"omega 3  900 mg","Oméga","80060745","","","natural","","word",""
"omega 3  900 mg","Oméga 3","80002335","","","natural","","word",""
"omega 3 - 900 mg (kirkland brand)","Oméga","80060745","","","natural","","word",""
"omega 3 - 900 mg (kirkland brand)","Oméga 3","80002335","","","natural","","word",""
"Omega 3 - 900 mg - Webber naturals","Oméga","80060745","","","natural","","word",""
"Omega 3 - 900 mg - Webber naturals","Oméga 3","80002335","","","natural","","word",""
"omega 3 1200mg","Oméga","80060745","","","natural","","word",""
"omega 3 1200mg","Oméga 3","80002335","","","natural","","word",""
"Omega 3 1250mg with 1000iu of Vit D","Oméga","80060745","","","natural","","word",""
"Omega 3 1250mg with 1000iu of Vit D","Oméga 3","80002335","","","natural","","word",""
"omega 3 2000 mg","Oméga","80060745","","","natural","","word",""
"omega 3 2000 mg","Oméga 3","80002335","","","natural","","word",""
"omega 3 300 m,g aep et 200 mg adh","Oméga","80060745","","","natural","","word",""
"omega 3 300 m,g aep et 200 mg adh","Oméga 3","80002335","","","natural","","word",""
"omega 3 400 mg aep; adh 200 mg","Oméga","80060745","","","natural","","word",""
"omega 3 400 mg aep; adh 200 mg","Oméga 3","80002335","","","natural","","word",""
"omega 3 500mg","Oméga","80060745","","","natural","","word",""
"omega 3 500mg","Oméga 3","80002335","","","natural","","word",""
"omega 3 6 9 1200mg","Oméga","80060745","","","natural","","word",""
"omega 3 6 9 1200mg","Oméga 3","80002335","","","natural","","word",""
"omega 3 6 9 1200mg","Omega 3 6 9","80012474","","","natural","","word",""
"omega 3 and co-enzyme q10 with plant steroids","Co-Enzyme Q10","80001907","","","natural","","word",""
"omega 3 and co-enzyme q10 with plant steroids","Oméga","80060745","","","natural","","word",""
"omega 3 and co-enzyme q10 with plant steroids","Oméga 3","80002335","","","natural","","word",""
"omega 3 and vit d","Oméga","80060745","","","natural","NO","word",""
"omega 3 and vit d","Oméga 3","80002335","","","natural","NO","word",""
"omega 3 complex","Oméga","80060745","","","natural","","word",""
"omega 3 complex","Oméga 3","80002335","","","natural","","word",""
"omega 3 elite","Oméga","80060745","","","natural","","word",""
"omega 3 elite","Oméga 3","80002335","","","natural","","word",""
"omega 3 jamieson","Oméga","80060745","","","natural","YES","word",""
"omega 3 jamieson","Oméga 3","80002335","","","natural","YES","word",""
"omega 3 joy","Oméga","80060745","","","natural","","word",""
"omega 3 joy","Oméga 3","80002335","","","natural","","word",""
"omega 3 LIN","Oméga","80060745","","","natural","","word",""
"omega 3 LIN","Oméga 3","80002335","","","natural","","word",""
"omega 3 luteine","Oméga","80060745","","","natural","","word",""
"omega 3 luteine","Oméga 3","80002335","","","natural","","word",""
"Omega 3 mini","Oméga","80060745","","","natural","NO","word",""
"Omega 3 mini","Oméga 3","80002335","","","natural","NO","word",""
"Omega 3 Oil","Oméga","80060745","","","natural","","word",""
"Omega 3 Oil","Oméga 3","80002335","","","natural","","word",""
"omega 3 seal oil","Oméga","80060745","","","natural","NO","word",""
"omega 3 seal oil","Oméga 3","80002335","","","natural","NO","word",""
"omega 3 seal oil","Seal Oil","80003569","","","natural","NO","word",""
"omega 3 tropical colada","Oméga","80060745","","","natural","NO","word",""
"omega 3 tropical colada","Oméga 3","80002335","","","natural","NO","word",""
"Omega 3 vitamin","Daily Multi Vitamin","80067478","","","natural","","word",""
"Omega 3 vitamin","Oméga","80060745","","","natural","","word",""
"Omega 3 vitamin","Oméga 3","80002335","","","natural","","word",""
"omega 3 with lutein","Lutein","80006104","","","natural","","word",""
"omega 3 with lutein","Oméga","80060745","","","natural","","word",""
"omega 3 with lutein","Oméga 3","80002335","","","natural","","word",""
"omega first fish oil","First","80073652","","","natural","","word",""
"omega first fish oil","Fish Oil","80000846","","","natural","","word",""
"omega first fish oil","Oméga","80060745","","","natural","","word",""
"omega first fish oil","Omega First","80004324","","","natural","","word",""
"omega first health first","First","80073652","","","natural","YES","word",""
"omega first health first","Oméga","80060745","","","natural","YES","word",""
"omega first health first","Omega First","80004324","","","natural","YES","word",""
"omega first health first","Vitamin B-50 Complex","02246884","","","natural","YES","word",""
"omega plus 3 6 9","Oméga","80060745","","","natural","","word",""
"omega plus 3 6 9","Omega Plus","80000901","","","natural","","word",""
"omega plus 3 6 9","Plus","80039392","","","natural","","word",""
"omega red krill","Krill","80033805","","","natural","NO","word",""
"omega red krill","Oméga","80060745","","","natural","NO","word",""
"Omega Red Super krill","Krill","80033805","","","natural","NO","word",""
"Omega Red Super krill","Oméga","80060745","","","natural","NO","word",""
"Omega Red Super krill","Super Red Omega Krill Oil","80042841","","","natural","NO","word",""
"omega three liquid","Oméga","80060745","","","natural","","word",""
"omega three liquid","Three","80025058","","","natural","","word",""
"omega-3 and CoQ10","COQ10","00833290","C01EB09","88:30.00","drug","","word","yes"
"omega-3 and CoQ10","OMEGA-3","02248743","C10AX06","88:30.00","drug","","word","yes"
"one a day for men over 50 multivitamin","FOR MEN","02240797","A11JB","88:28.01","drug","","word","no"
"one a day for men over 50 multivitamin","MULTIVITAMIN","02236800","","","drug","","word","yes"
"opc-3 Oligomeric Proanthocyanidins Isotonix (Source of antioxidants and advanced nutraceuticals) (grapeseed)","Antioxidants","80028965","","","natural","","word",""
"opc-3 Oligomeric Proanthocyanidins Isotonix (Source of antioxidants and advanced nutraceuticals) (grapeseed)","Oligomeric Proanthocyanidins","80026753","","","natural","","word",""
"opc-3 Oligomeric Proanthocyanidins Isotonix (Source of antioxidants and advanced nutraceuticals) (grapeseed)","Opc-3","80025189","","","natural","","word",""
"ortho mineral and vitamin d3","Daily Multi Vitamin","80067478","","","natural","NO","word",""
"ortho mineral and vitamin d3","Vitamin D3","02238918","","","natural","NO","word",""
"Osteo Joint East Glucosamine, MSM, Chondroitin   750mg/ 300mg/ 200mg","Chondroitin","80001847","","","natural","NO","word",""
"Osteo Joint East Glucosamine, MSM, Chondroitin   750mg/ 300mg/ 200mg","Osteo","80036903","","","natural","NO","word",""
"pain relief pm extra strength","Extra","80062086","","","natural","","word",""
"pain relief pm extra strength","Pain Relief","80066033","","","natural","","word",""
"pain relief pm extra strength","Relief","80051410","","","natural","","word",""
"pain relief pm extra strength","Strength","80060537","","","natural","","word",""
"Pancrease MT4 4K 12K 12K Lipase Protease Amylase","Amylase","80034613","","","natural","YES","word",""
"Pancrease MT4 4K 12K 12K Lipase Protease Amylase","Lipase","80034395","","","natural","YES","word",""
"Pancrease MT4 4K 12K 12K Lipase Protease Amylase","Pancrease Mt4","00789445","","","natural","YES","word",""
"Pancrease MT4 4K 12K 12K Lipase Protease Amylase","Protease","80034986","","","natural","YES","word",""
"Pantoloc 40 mg delayed release tablet","PANTOLOC","02229453","A02BC02","56:28.36","drug","","word","no"
"Pantoloc 40 mg delayed release tablet","RELEASE","02238132","A11GA01","88:28.01","drug","","word","no"
"performance science ferrous sulphate 300 mg","FERROUS SULPHATE","02245492","B03AA07","20:04.04","drug","","word","yes"
"performance science ferrous sulphate 300 mg","PERFORMANCE","00470074","V07AV","38:00.00","drug","","word","yes"
"Peter Gillham's Natural Vitality Natural Calm","Calm","80025459","","","natural","","word",""
"Peter Gillham's Natural Vitality Natural Calm","Vitality","80023630","","","natural","","word",""
"pharma cal d","Pharmacal - D","80061727","","","natural","","simple",""
"pharma cal d","Pharmacal-D","80021415","","","natural","","simple",""
"Pharmanex brand Lifepak nano multivitamin packets","LIFEPAK","02231437","A11AA03","88:28.01","drug","","word","yes"
"Pharmanex brand Lifepak nano multivitamin packets","MULTIVITAMIN","02236800","","","drug","","word","yes"
"pharmanex lifepak nano multivitamin","LIFEPAK","02231437","A11AA03","88:28.01","drug","NO","word","yes"
"pharmanex lifepak nano multivitamin","MULTIVITAMIN","02236800","","","drug","NO","word","yes"
"pharmasave wellquest brand vitamin d3","Daily Multi Vitamin","80067478","","","natural","","word",""
"pharmasave wellquest brand vitamin d3","Vitamin D3","02238918","","","natural","","word",""
"pms calcium 500 mg","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"pms calcium 500 mg","CALCIUM 500 MG","02243626","A12AA04","40:12.00","drug","","word","yes"
"PMS Ramipril for Altace","ALTACE","02221829","C09AA05","24:32.04","drug","","word","no"
"PMS Ramipril for Altace","RAMIPRIL","02255316","C09AA05","24:32.04","drug","","word","no"
"PMS-ROSUVASTATIN 5MG ROSUVASTATIN 5MG ,","PMS-ROSUVASTATIN","02378523","C10AA07","24:06.08","drug","","word","no"
"PMS-ROSUVASTATIN 5MG ROSUVASTATIN 5MG ,","ROSUVASTATIN","02381176","C10AA07","24:06.08","drug","","word","no"
"POTASSIUM CHLORIDE 600MG","Potassium","80027000","","","natural","","word",""
"POTASSIUM CHLORIDE 600MG","Potassium Chloride","80005267","","","natural","","word",""
"Potassium Citrate 10 MeQ","Potassium","80027000","","","natural","YES","word",""
